"filename", "language", "Batch", "Markdown", "PowerShell", "JSON", "TypeScript", "YAML", "HTML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"g:\WelandCSCA\.github\workflows\main.yaml", "YAML", 0, 0, 0, 0, 0, 52, 0, 0, 0, 4, 7, 63
"g:\WelandCSCA\CUCAS-CSCA.md", "Markdown", 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 47, 510
"g:\WelandCSCA\README.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 49, 158
"g:\WelandCSCA\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"g:\WelandCSCA\client\package-lock.json", "JSON", 0, 0, 0, 2042, 0, 0, 0, 0, 0, 0, 1, 2043
"g:\WelandCSCA\client\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"g:\WelandCSCA\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 208, 0, 6, 36, 250
"g:\WelandCSCA\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 4, 39
"g:\WelandCSCA\client\src\components\AuthModal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 213, 0, 1, 32, 246
"g:\WelandCSCA\client\src\components\AuthModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 431, 13, 38, 482
"g:\WelandCSCA\client\src\components\LatexRenderer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 39, 89
"g:\WelandCSCA\client\src\components\LatexRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 7, 38, 95
"g:\WelandCSCA\client\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 1, 8, 116
"g:\WelandCSCA\client\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 16, 150
"g:\WelandCSCA\client\src\contexts\LanguageContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 10, 44
